"city_country_rel","city_id"
"city_country_rel","country_id"
"invoice","invoice_id"
"invoice","invoice_creation_time"
"invoice","invoice_last_change_time"
"invoice","invoice_company_name"
"invoice","invoice_date_of_order"
"invoice","invoice_date"
"invoice","invoice_allocationarea"
"invoice","invoice_description"
"invoice","invoice_payment_date"
"default_value","default_value_id"
"default_value","default_deadline_period"
"default_value","default_deadline_yellow"
"default_value","default_deadline_red"
"default_value","default_prediction_value"
"default_value","default_prediction_info"
"default_value","default_deadline_info"
"address_city_rel","address_id"
"address_city_rel","city_id"
"column","column_id"
"column","column_name"
"column","column_description"
"note_user_inspectionresult_rel","note_id"
"note_user_inspectionresult_rel","user_id"
"note_user_inspectionresult_rel","inspectionresult_id"
"rating","rating_id"
"rating","rating_name"
"rating","rating_description"
"note_user_company_rel","note_id"
"note_user_company_rel","user_id"
"note_user_company_rel","company_id"
"contract_criteria_choice_rel","contract_id"
"contract_criteria_choice_rel","criteria_id"
"contract_criteria_choice_rel","choice_id"
"partnercompany_partnertype_rel","partnercompany_id"
"partnercompany_partnertype_rel","partnertype_id"
"contract_criteria_rel","contract_id"
"contract_criteria_rel","criteria_id"
"contract_criteria_rel","contract_criteria_exists"
"contract_criteria_rel","contract_criteria_valid_to_date"
"contract_criteria_rel","contract_criteria_valid_from_date"
"contract_criteria_rel","contract_criteria_comment"
"contract_criteria_rel","contract_criteria_value"
"inspectionresult_savingtype_rel","inspectionresult_id"
"inspectionresult_savingtype_rel","savingtype_id"
"inspectionresult_savingtype_rel","inspectionresult_savingtype_value"
"group_ticket_team_rel","group_ticket_id"
"group_ticket_team_rel","team_id"
"contradiction_contactperson_rel","contradiction_id"
"contradiction_contactperson_rel","contactperson_id"
"note_user_group_ticket_rel","note_id"
"note_user_group_ticket_rel","user_id"
"note_user_group_ticket_rel","group_ticket_id"
"user","user_id"
"user","user_firstname"
"user","user_lastname"
"user","user_email"
"user","user_password"
"user","user_token"
"user","user_wrong_password_counter"
"user","user_password_reset_required"
"user","user_last_login_time"
"user","user_creation_time"
"serviceobject_serviceobjecttype_rel","serviceobject_id"
"serviceobject_serviceobjecttype_rel","serviceobjecttype_id"
"choice","choice_id"
"choice","choice_name"
"choice","choice_description"
"partnergroup_partnertype_rel","partnergroup_id"
"partnergroup_partnertype_rel","partnertype_id"
"criteriatype","criteriatype_id"
"criteriatype","criteriatype_name"
"criteriatype","criteriatype_description"
"user_company_rel","user_id"
"user_company_rel","company_id"
"location_serviceobject_rel","location_id"
"location_serviceobject_rel","serviceobject_id"
"inspectionresult_resultcategorization_rel","inspectionresult_id"
"inspectionresult_resultcategorization_rel","resultcategorization_id"
"contract_contracttype_rel","contract_id"
"contract_contracttype_rel","contracttype_id"
"contradictionpoint_inspectionresult_rating_rel","contradictionpoint_id"
"contradictionpoint_inspectionresult_rating_rel","inspectionresult_id"
"contradictionpoint_inspectionresult_rating_rel","rating_id"
"contradictionpoint_inspectionresult_rating_rel","contradictionpoint_inspectionresult_rating_value"
"customergroup","customergroup_id"
"customergroup","customergroup_name"
"customergroup","customergroup_description"
"user_partnercompany_rel","user_id"
"user_partnercompany_rel","partnercompany_id"
"tag","tag_id"
"tag","tag_description"
"tag","tag_name"
"textmodule_costtype_rel","textmodule_id"
"textmodule_costtype_rel","costtype_id"
"user_pos_rel","user_id"
"user_pos_rel","pos_id"
"contradiction_correspondence_rel","contradiction_id"
"contradiction_correspondence_rel","correspondence_id"
"criteria","criteria_id"
"criteria","criteria_name"
