MariaDB [kim_pro]> SELECT TABLE_NAME, COLUMN_NAME FROM  (SELECT * FROM INFORMATION_SCHEMA.COLUMNS) as t WHERE TABLE_SCHEMA = DATABASE();
+-------------------------------------------------+-----------------------------------------------------+
| TABLE_NAME                                      | COLUMN_NAME                                         |
| criteria_contracttype_grp                       | contracttype_name                                   |
| criteria_contracttype_grp                       | contracttype_description                            |
| language                                        | language_id                                         |
| language                                        | language_name                                       |
| language                                        | language_iso639                                     |
| company_contactdetails_grp                      | contactdetails_id                                   |
| company_contactdetails_grp                      | company_id                                          |
| company_contactdetails_grp                      | company_name                                        |
| company_contactdetails_grp                      | company_template_coverletter_subject                |
| company_contactdetails_grp                      | company_template_coverletter_text                   |
| company_contactdetails_grp                      | company_shortname                                   |
| company_contactdetails_grp                      | contactdetails_email                                |
| company_contactdetails_grp                      | contactdetails_phone                                |
| company_contactdetails_grp                      | contactdetails_mobile                               |
| company_contactdetails_grp                      | contactdetails_fax                                  |
| contract_specialright_rel                       | contract_id                                         |
| contract_specialright_rel                       | specialright_id                                     |
| contract_specialright_rel                       | contract_specialright_date                          |
| contract_specialright_rel                       | contract_specialright_termination_date              |
| contract_specialright_rel                       | contract_specialright_description                   |
| contract_specialright_rel                       | contract_specialright_is_passive                    |
| contract_specialright_rel                       | contract_specialright_is_availed                    |
| contract_specialright_rel                       | contract_specialright_prior_notice_date             |
| contract_specialright_rel                       | contract_specialright_automatic_renewal_in_months   |
| partnercompany_address_rel                      | partnercompany_id                                   |
| partnercompany_address_rel                      | address_id                                          |
| note_user_company_grp                           | company_id                                          |
| note_user_company_grp                           | user_id                                             |
| note_user_company_grp                           | note_id                                             |
| note_user_company_grp                           | note_longtext                                       |
| note_user_company_grp                           | note_timestamp                                      |
| note_user_company_grp                           | note_del                                            |
| note_user_company_grp                           | user_firstname                                      |
| note_user_company_grp                           | user_lastname                                       |
| note_user_company_grp                           | user_email                                          |
| note_user_company_grp                           | user_password                                       |
| note_user_company_grp                           | user_token                                          |
| note_user_company_grp                           | user_wrong_password_counter                         |
| note_user_company_grp                           | user_password_reset_required                        |
| note_user_company_grp                           | user_last_login_time                                |
| note_user_company_grp                           | user_creation_time                                  |
| note_user_company_grp                           | user_mobile                                         |
| note_user_company_grp                           | user_locked                                         |
| note_user_company_grp                           | company_name                                        |
| note_user_company_grp                           | company_template_coverletter_subject                |
| note_user_company_grp                           | company_template_coverletter_text                   |
| note_user_company_grp                           | company_shortname                                   |
| contradictiontask                               | contradictiontask_id                                |
| contradictiontask                               | contradictiontask_name                              |
| contradictiontask                               | contradictiontask_description                       |
| product                                         | product_id                                          |
| product                                         | product_name                                        |
| product                                         | product_description                                 |
| product                                         | product_short                                       |
| invoicevaluetype_unit_rel                       | invoicevaluetype_id                                 |
| invoicevaluetype_unit_rel                       | unit_id                                             |
| invoicevaluetype_unit_rel                       | invoicevaluetype_unit_preferred_unit                |
| user_role_rel                                   | user_id                                             |
| user_role_rel                                   | role_id                                             |
| user_role_rel                                   | user_role_valid_from                                |
| user_role_rel                                   | user_role_valid_to                                  |
| note                                            | note_id                                             |
| note                                            | note_longtext                                       |
| note                                            | note_timestamp                                      |
| note                                            | note_del                                            |
| textmodule                                      | textmodule_id                                       |
| textmodule                                      | textmodule_name                                     |
| textmodule                                      | textmodule_description                              |
| textmodule                                      | textmodule_templatetext                             |
| textmodule                                      | textmodule_text_left                                |
| textmodule                                      | textmodule_text_right_0                             |
| textmodule                                      | textmodule_text_right_1                             |
| textmodule                                      | textmodule_text_right_2                             |
| textmodule                                      | textmodule_text_right_3                             |
| textmodule                                      | textmodule_text_right_4                             |
| textmodule                                      | textmodule_number_of_text_blocks                    |
| ticket_ticket_rel                               | ticket_id                                           |
| ticket_ticket_rel                               | ticket_id_group                                     |
| ticket_ticket_rel                               | ticket_type                                         |
| inspectionresult_contradictionabstracttype_grp  | contradictionabstracttype_id                        |
| inspectionresult_contradictionabstracttype_grp  | inspectionresult_id                                 |
| inspectionresult_contradictionabstracttype_grp  | inspectionresult_value                              |
| inspectionresult_contradictionabstracttype_grp  | inspectionresult_comment                            |
| inspectionresult_contradictionabstracttype_grp  | inspectionresult_realised                           |
| inspectionresult_contradictionabstracttype_grp  | inspectionresult_legally_clear                      |
| inspectionresult_contradictionabstracttype_grp  | contradictionabstracttype_name                      |
| inspectionresult_contradictionabstracttype_grp  | contradictionabstracttype_description               |
| inspectionresult_contradictionabstracttype_grp  | contradictionabstracttype_std                       |
| user_team_rel                                   | user_id                                             |
| user_team_rel                                   | team_id                                             |
| user_team_rel                                   | user_team_valid_from                                |
| user_team_rel                                   | user_team_valid_to                                  |
| partnercompany                                  | partnercompany_id                                   |
| partnercompany                                  | partnercompany_name                                 |
| partnercompany                                  | partnercompany_shortname                            |
| frontend_user_detailview                        | user_id                                             |
| frontend_user_detailview                        | usertype_id                                         |
| frontend_user_detailview                        | customergroup_id                                    |
| frontend_user_detailview                        | contacttitle_id                                     |
| frontend_user_detailview                        | contactsalutation_id                                |
